date,sales
2022-08-02,29
2022-08-03,50
2022-08-04,99
2022-08-05,82
2022-08-06,39
2022-08-07,53
2022-08-08,99
2022-08-09,24
2022-08-10,72
2022-08-11,82
2022-08-12,63
2022-08-13,90
2022-08-14,89
2022-08-15,43
2022-08-16,32
2022-08-17,91
2022-08-18,39
2022-08-19,51
2022-08-20,31
2022-08-21,32
2022-08-22,63
2022-08-23,58
2022-08-24,60
2022-08-25,96
2022-08-26,80
2022-08-27,50
2022-08-28,93
2022-08-29,54
2022-08-30,88
2022-08-31,92
2022-09-01,20
2022-09-02,26
2022-09-03,78
2022-09-04,41
2022-09-05,60
2022-09-06,93
2022-09-07,30
2022-09-08,32
2022-09-09,96
2022-09-10,33
2022-09-11,38
2022-09-12,58
2022-09-13,69
2022-09-14,90
2022-09-15,42
2022-09-16,94
2022-09-17,89
2022-09-18,50
2022-09-19,89
2022-09-20,76
2022-09-21,62
2022-09-22,41
2022-09-23,99
2022-09-24,53
2022-09-25,49
2022-09-26,42
2022-09-27,57
2022-09-28,22
2022-09-29,55
2022-09-30,81
2022-10-01,26
2022-10-02,42
2022-10-03,41
2022-10-04,78
2022-10-05,96
2022-10-06,24
2022-10-07,58
2022-10-08,95
2022-10-09,47
2022-10-10,86
2022-10-11,58
2022-10-12,82
2022-10-13,62
2022-10-14,63
2022-10-15,94
2022-10-16,91
2022-10-17,62
2022-10-18,86
2022-10-19,42
2022-10-20,59
2022-10-21,20
2022-10-22,49
2022-10-23,39
2022-10-24,58
2022-10-25,70
2022-10-26,68
2022-10-27,72
2022-10-28,81
2022-10-29,92
2022-10-30,26
2022-10-31,76
2022-11-01,89
2022-11-02,78
2022-11-03,33
2022-11-04,62
2022-11-05,50
2022-11-06,61
2022-11-07,88
2022-11-08,35
2022-11-09,66
2022-11-10,30
2022-11-11,66
2022-11-12,89
2022-11-13,79
2022-11-14,85
2022-11-15,31
2022-11-16,88
2022-11-17,81
2022-11-18,77
2022-11-19,50
2022-11-20,86
2022-11-21,34
2022-11-22,99
2022-11-23,41
2022-11-24,97
2022-11-25,58
2022-11-26,52
2022-11-27,38
2022-11-28,62
2022-11-29,64
2022-11-30,76
2022-12-01,55
2022-12-02,68
2022-12-03,97
2022-12-04,27
2022-12-05,38
2022-12-06,63
2022-12-07,38
2022-12-08,90
2022-12-09,81
2022-12-10,97
2022-12-11,95
2022-12-12,88
2022-12-13,70
2022-12-14,50
2022-12-15,56
2022-12-16,63
2022-12-17,50
2022-12-18,64
2022-12-19,71
2022-12-20,92
2022-12-21,37
2022-12-22,41
2022-12-23,58
2022-12-24,65
2022-12-25,34
2022-12-26,98
2022-12-27,56
2022-12-28,98
2022-12-29,48
2022-12-30,83
2022-12-31,70
